participant_id	K	symmetry	dcbc_indiv	dcbc_group
Demand_sub-01	10	Asymmetric	0.2108121	0.097612505
Demand_sub-01	10	Symmetric	0.17567059000000002	0.09223166499999999
Demand_sub-01	20	Asymmetric	0.26450565000000004	0.138181755
Demand_sub-01	20	Symmetric	0.20961409	0.136552515
Demand_sub-01	34	Asymmetric	0.28513183	0.11785396000000001
Demand_sub-01	34	Symmetric	0.22667900000000002	0.108532035
Demand_sub-01	40	Asymmetric	0.29994555	0.125466835
Demand_sub-01	40	Symmetric	0.24084165	0.10750469500000001
Demand_sub-01	68	Asymmetric	0.30450992	0.11394127999999999
Demand_sub-01	68	Symmetric	0.259268045	0.11462942000000001
Demand_sub-02	10	Asymmetric	0.14452965	0.060664095
Demand_sub-02	10	Symmetric	0.1063596725	0.056516036
Demand_sub-02	20	Asymmetric	0.16144767999999998	0.093013275
Demand_sub-02	20	Symmetric	0.14168562	0.092937282
Demand_sub-02	34	Asymmetric	0.157193985	0.067495471
Demand_sub-02	34	Symmetric	0.14668045000000002	0.075585146
Demand_sub-02	40	Asymmetric	0.162533175	0.0762822485
Demand_sub-02	40	Symmetric	0.14958915	0.07639251250000001
Demand_sub-02	68	Asymmetric	0.179749645	0.078561862
Demand_sub-02	68	Symmetric	0.16290008	0.081699569
Demand_sub-05	10	Asymmetric	0.19402815	0.113767775
Demand_sub-05	10	Symmetric	0.16748367	0.11603804000000001
Demand_sub-05	20	Asymmetric	0.20122025	0.113158395
Demand_sub-05	20	Symmetric	0.18474796500000001	0.10738856199999999
Demand_sub-05	34	Asymmetric	0.19242429	0.090423795
Demand_sub-05	34	Symmetric	0.19111211	0.080586925
Demand_sub-05	40	Asymmetric	0.19147577500000001	0.079411783
Demand_sub-05	40	Symmetric	0.18599177500000003	0.08600326999999999
Demand_sub-05	68	Asymmetric	0.20448275	0.0787214125
Demand_sub-05	68	Symmetric	0.19738644	0.09083353499999999
Demand_sub-06	10	Asymmetric	0.209470785	0.10013591699999999
Demand_sub-06	10	Symmetric	0.143960125	0.1024185275
Demand_sub-06	20	Asymmetric	0.266786315	0.1305049825
Demand_sub-06	20	Symmetric	0.21483817	0.13799116
Demand_sub-06	34	Asymmetric	0.24645745000000002	0.11412573499999999
Demand_sub-06	34	Symmetric	0.20997738500000002	0.11607168999999999
Demand_sub-06	40	Asymmetric	0.26806504	0.1094529
Demand_sub-06	40	Symmetric	0.219282485	0.114462545
Demand_sub-06	68	Asymmetric	0.27741777999999995	0.102918443
Demand_sub-06	68	Symmetric	0.22111998	0.12315897
Demand_sub-07	10	Asymmetric	0.099007035	0.066304475
Demand_sub-07	10	Symmetric	0.0504760895	0.065583065
Demand_sub-07	20	Asymmetric	0.14200396199999998	0.0869053075
Demand_sub-07	20	Symmetric	0.0733170845	0.081816813
Demand_sub-07	34	Asymmetric	0.13147229	0.07899948
Demand_sub-07	34	Symmetric	0.12194614200000001	0.06780077500000001
Demand_sub-07	40	Asymmetric	0.12796553	0.036466506
Demand_sub-07	40	Symmetric	0.14394889500000002	0.034296153499999996
Demand_sub-07	68	Asymmetric	0.16029815	0.0391499655
Demand_sub-07	68	Symmetric	0.14833458	0.0400294705
Demand_sub-08	10	Asymmetric	0.19235792000000002	0.069854795
Demand_sub-08	10	Symmetric	0.14946782	0.06848834000000001
Demand_sub-08	20	Asymmetric	0.26281920999999997	0.098050915
Demand_sub-08	20	Symmetric	0.19526021999999998	0.0920025825
Demand_sub-08	34	Asymmetric	0.23884406	0.06495735999999999
Demand_sub-08	34	Symmetric	0.19918798	0.057190099999999994
Demand_sub-08	40	Asymmetric	0.2309388	0.0740492975
Demand_sub-08	40	Symmetric	0.20182788000000002	0.069597735
Demand_sub-08	68	Asymmetric	0.251056445	0.075974213
Demand_sub-08	68	Symmetric	0.213592715	0.08646323
Demand_sub-09	10	Asymmetric	0.129218895	0.049168602
Demand_sub-09	10	Symmetric	0.0823600025	0.0467627655
Demand_sub-09	20	Asymmetric	0.16176924999999998	0.10628632499999999
Demand_sub-09	20	Symmetric	0.12410584999999999	0.101434843
Demand_sub-09	34	Asymmetric	0.17487344500000002	0.1068315
Demand_sub-09	34	Symmetric	0.14413122	0.10901447
Demand_sub-09	40	Asymmetric	0.181957415	0.10169281
Demand_sub-09	40	Symmetric	0.140734575	0.098800255
Demand_sub-09	68	Asymmetric	0.18804642500000002	0.10783973999999999
Demand_sub-09	68	Symmetric	0.161729415	0.11751823
Demand_sub-10	10	Asymmetric	0.21517265	0.047972176500000005
Demand_sub-10	10	Symmetric	0.10625335	0.040124190000000004
Demand_sub-10	20	Asymmetric	0.257897125	0.10709561249999999
Demand_sub-10	20	Symmetric	0.182475	0.10992317
Demand_sub-10	34	Asymmetric	0.25986144	0.060268741
Demand_sub-10	34	Symmetric	0.18771923000000001	0.06586667
Demand_sub-10	40	Asymmetric	0.237280445	0.057983814999999994
Demand_sub-10	40	Symmetric	0.18912823499999998	0.06753619250000001
Demand_sub-10	68	Asymmetric	0.27055240999999997	0.0510708765
Demand_sub-10	68	Symmetric	0.189152535	0.059291720000000006
Demand_sub-11	10	Asymmetric	0.14075802999999998	0.01942965
Demand_sub-11	10	Symmetric	0.134791457	0.01600024063
Demand_sub-11	20	Asymmetric	0.179415685	0.0361846975
Demand_sub-11	20	Symmetric	0.14938110999999998	0.0310515425
Demand_sub-11	34	Asymmetric	0.159862695	0.00616591533
Demand_sub-11	34	Symmetric	0.164085425	0.0097576265
Demand_sub-11	40	Asymmetric	0.16214291	0.018785589
Demand_sub-11	40	Symmetric	0.17317035	0.009548452
Demand_sub-11	68	Asymmetric	0.1859779	0.012761367249999999
Demand_sub-11	68	Symmetric	0.19226794	0.01355419675
Demand_sub-12	10	Asymmetric	0.15746432	0.090731013
Demand_sub-12	10	Symmetric	0.10555861250000001	0.09532927499999999
Demand_sub-12	20	Asymmetric	0.185782845	0.08922704499999999
Demand_sub-12	20	Symmetric	0.13484342	0.0865316315
Demand_sub-12	34	Asymmetric	0.19330657	0.10967901499999999
